Date,Brazil,Russia,India,China,South_Africa,Germany_EU,Japan,UK,Canada,DXY,Oil_WTI,Gold,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield
2017-10-31,3.2873001098632812,57.90019989013672,64.84239959716797,6.642399787902832,14.046099662780762,1.1652703285217285,112.99600219726562,1.3212482929229736,1.2824300527572632,94.55000305175781,54.380001068115234,1267.0,,,,
2017-11-01,,,,,,,,,,,,,1.16,247.284,13841.3,2.35
2017-11-30,3.244800090789795,58.59669876098633,64.41480255126953,6.60830020904541,13.64883041381836,1.18519926071167,112.00199890136719,1.3417235612869263,1.2862000465393066,93.01000213623047,57.400001525878906,1273.199951171875,,,,
2017-12-01,,,,,,,,,,,,,1.3,247.805,13899.7,2.4
2017-12-31,3.3111000061035156,57.56890106201172,64.06199645996094,6.531599998474121,12.395500183105469,1.1941723823547363,112.875,1.344085931777954,1.2565499544143677,92.12000274658203,60.41999816894531,1306.300048828125,,,,
2018-01-01,,,,,,,,,,,,,1.41,248.859,13910.2,2.58
2018-01-31,3.179500102996826,56.31779861450195,63.769901275634766,6.321100234985352,11.961099624633789,1.2409565448760986,108.73200225830078,1.4155884981155396,1.2336100339889526,89.12999725341797,64.7300033569336,1339.0,,,,
2018-02-01,,,,,,,,,,,,,1.42,249.529,13947.2,2.86
2018-02-28,3.248500108718872,56.219200134277344,64.91000366210938,6.316699981689453,11.699299812316895,1.2230321168899536,107.4260025024414,1.3906078338623047,1.277109980583191,90.61000061035156,61.63999938964844,1315.5,,,,
2018-03-01,,,,,,,,,,,,,1.51,249.577,14003.5,2.84
2018-03-31,3.303499937057495,57.25419998168945,65.02999877929688,6.288899898529053,11.831080436706543,1.2302846908569336,106.47899627685547,1.4029377698898315,1.288699984550476,90.1500015258789,64.94000244140625,1322.800048828125,,,,
2018-04-01,,,,,,,,,,,,,1.69,250.227,14021.4,2.87
2018-04-30,3.4581000804901123,62.3202018737793,66.61000061035156,6.336999893188477,12.318699836730957,1.2122827768325806,109.0979995727539,1.37710702419281,1.2839800119400024,91.83999633789062,68.56999969482422,1316.199951171875,,,,
2018-05-01,,,,,,,,,,,,,1.7,250.792,14077.4,2.98
2018-05-31,3.722100019454956,62.09700012207031,67.43000030517578,6.418000221252441,12.517900466918945,1.1667250394821167,108.71199798583984,1.328356385231018,1.2893099784851074,93.98999786376953,67.04000091552734,1300.0999755859375,,,,
2018-06-01,,,,,,,,,,,,,1.82,251.018,14137.7,2.91
2018-06-30,3.859499931335449,62.833900451660156,68.79669952392578,6.627399921417236,13.76710033416748,1.1562966108322144,110.48600006103516,1.3075141906738281,1.3255200386047363,94.62999725341797,74.1500015258789,1251.300048828125,,,,
2018-07-01,,,,,,,,,,,,,1.91,251.214,14171.1,2.89
2018-07-31,3.728100061416626,62.20640182495117,68.68499755859375,6.814899921417236,13.155269622802734,1.1707408428192139,110.99400329589844,1.3135426044464111,1.3028000593185425,94.48999786376953,68.76000213623047,1223.699951171875,,,,
2018-08-01,,,,,,,,,,,,,1.91,251.663,14219.4,2.89
2018-08-31,4.148600101470947,68.20269775390625,71.40499877929688,6.843100070953369,14.698380470275879,1.1664663553237915,110.9990005493164,1.301100730895996,1.2985899448394775,95.13999938964844,69.80000305175781,1200.300048828125,,,,
2018-09-01,,,,,,,,,,,,,1.95,252.182,14253.8,3.0
2018-09-30,4.01200008392334,65.53600311279297,72.94999694824219,6.880300045013428,14.104299545288086,1.1637378931045532,113.35700225830078,1.3078734874725342,1.3036400079727173,95.19000244140625,73.25,1191.5,,,,
2018-10-01,,,,,,,,,,,,,2.19,252.772,14265.4,3.15
2018-10-31,3.6946001052856445,65.47200012207031,73.6500015258789,6.966300010681152,14.595000267028809,1.1346358060836792,113.052001953125,1.2708903551101685,1.311400055885315,97.12999725341797,65.30999755859375,1212.300048828125,,,,
2018-11-01,,,,,,,,,,,,,2.2,252.594,14285.7,3.12
